# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -4383 4 43 63 8711866 5 /openedx/staticfiles/studio/js/capa/jsmolcalc/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4383 4 43 63 8709698 5 /openedx/staticfiles/studio/js/capa/protex/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4383 4 43 63 6467113 5 /openedx/staticfiles/studio/vendor/jsme/jsme/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4383 3 43 63 9095570 5 /openedx/staticfiles/js/capa/jsme/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4383 4 43 63 8711880 5 /openedx/staticfiles/studio/js/capa/protex/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4383 3 43 63 9093983 5 /openedx/staticfiles/js/capa/jsmolcalc/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4383 3 43 63 9093885 5 /openedx/staticfiles/js/capa/genex/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4383 4 43 63 8711846 5 /openedx/staticfiles/studio/js/capa/jsme/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4383 4 43 63 6468416 5 /openedx/staticfiles/studio/vendor/jsme/jsme/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4383 4 43 63 8709600 5 /openedx/staticfiles/studio/js/capa/jsme/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4383 3 43 63 9095604 5 /openedx/staticfiles/js/capa/protex/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4383 3 43 63 9093916 5 /openedx/staticfiles/js/capa/jsme/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4383 4 43 63 8711827 5 /openedx/staticfiles/studio/js/capa/genex/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4383 4 43 63 8709569 5 /openedx/staticfiles/studio/js/capa/genex/clear.cache.gif
DUPTYPE_FIRST_OCCURRENCE 16161 8 43 63 9095136 5 /openedx/staticfiles/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/trans.12bf9e193749.gif
DUPTYPE_WITHIN_SAME_TREE -16161 9 43 63 8971585 5 /openedx/staticfiles/studio/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/trans.gif
DUPTYPE_WITHIN_SAME_TREE -16161 9 43 63 8973809 5 /openedx/staticfiles/studio/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/trans.12bf9e193749.gif
DUPTYPE_WITHIN_SAME_TREE -16161 8 43 63 9093648 5 /openedx/staticfiles/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/trans.gif
DUPTYPE_FIRST_OCCURRENCE 3579 2 44 63 5422069 5 /openedx/staticfiles/templates/learner_dashboard/sidebar.a51ef756c536.underscore
DUPTYPE_WITHIN_SAME_TREE -3579 2 44 63 5419514 5 /openedx/staticfiles/templates/learner_dashboard/sidebar.underscore
DUPTYPE_FIRST_OCCURRENCE 12605 6 45 63 5421790 5 /openedx/staticfiles/js/bower/jquery/src/css/var/rmargin.028581c37c9d.js
DUPTYPE_WITHIN_SAME_TREE -12605 10 45 63 4919583 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/css/var/rmargin.js
DUPTYPE_WITHIN_SAME_TREE -12605 10 45 63 4919698 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/css/var/rmargin.028581c37c9d.js
DUPTYPE_WITHIN_SAME_TREE -12605 7 45 63 4125035 5 /openedx/staticfiles/studio/js/bower/jquery/src/css/var/rmargin.028581c37c9d.js
DUPTYPE_WITHIN_SAME_TREE -12605 6 45 63 5420224 5 /openedx/staticfiles/js/bower/jquery/src/css/var/rmargin.js
DUPTYPE_WITHIN_SAME_TREE -12605 11 45 63 3599164 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/css/var/rmargin.028581c37c9d.js
DUPTYPE_WITHIN_SAME_TREE -12605 7 45 63 4124965 5 /openedx/staticfiles/studio/js/bower/jquery/src/css/var/rmargin.js
DUPTYPE_WITHIN_SAME_TREE -12605 11 45 63 3599114 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/css/var/rmargin.js
DUPTYPE_FIRST_OCCURRENCE 16163 8 46 63 9095138 5 /openedx/staticfiles/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/wline.c136c9f8e007.gif
DUPTYPE_WITHIN_SAME_TREE -16163 9 46 63 8973811 5 /openedx/staticfiles/studio/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/wline.c136c9f8e007.gif
DUPTYPE_WITHIN_SAME_TREE -16163 8 46 63 9093650 5 /openedx/staticfiles/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/wline.gif
DUPTYPE_WITHIN_SAME_TREE -16163 9 46 63 8971587 5 /openedx/staticfiles/studio/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/wline.gif
DUPTYPE_FIRST_OCCURRENCE 7281 4 48 63 8718418 5 /openedx/staticfiles/css/vendor/slickgrid/images/header-columns-over-bg.d8a4e91fcc30.gif
DUPTYPE_WITHIN_SAME_TREE -7281 4 48 63 8704767 5 /openedx/staticfiles/css/vendor/slickgrid/images/header-columns-over-bg.gif
DUPTYPE_WITHIN_SAME_TREE -7281 5 48 63 8711645 5 /openedx/staticfiles/studio/css/vendor/slickgrid/images/header-columns-over-bg.d8a4e91fcc30.gif
DUPTYPE_WITHIN_SAME_TREE -7281 5 48 63 8709454 5 /openedx/staticfiles/studio/css/vendor/slickgrid/images/header-columns-over-bg.gif
DUPTYPE_FIRST_OCCURRENCE 9943 5 50 63 8718067 5 /openedx/staticfiles/js/bower/jquery/src/var/strundefined.9e452cb4a553.js
DUPTYPE_WITHIN_SAME_TREE -9943 5 50 63 8707682 5 /openedx/staticfiles/js/bower/jquery/src/var/strundefined.js
DUPTYPE_WITHIN_SAME_TREE -9943 6 50 63 4124939 5 /openedx/staticfiles/studio/js/bower/jquery/src/var/strundefined.js
DUPTYPE_WITHIN_SAME_TREE -9943 9 50 63 4918078 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/var/strundefined.js
DUPTYPE_WITHIN_SAME_TREE -9943 10 50 63 3599088 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/var/strundefined.js
DUPTYPE_WITHIN_SAME_TREE -9943 6 50 63 4125059 5 /openedx/staticfiles/studio/js/bower/jquery/src/var/strundefined.9e452cb4a553.js
DUPTYPE_WITHIN_SAME_TREE -9943 10 50 63 3599186 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/var/strundefined.9e452cb4a553.js
DUPTYPE_WITHIN_SAME_TREE -9943 9 50 63 4919720 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/var/strundefined.9e452cb4a553.js
DUPTYPE_FIRST_OCCURRENCE 4015 3 52 63 5421884 5 /openedx/staticfiles/common/js/vendor/index.55c2f095862b.js
DUPTYPE_WITHIN_SAME_TREE -4015 3 52 63 5419070 5 /openedx/staticfiles/common/js/vendor/index.js
DUPTYPE_WITHIN_SAME_TREE -4015 4 52 63 2806007 5 /openedx/staticfiles/studio/common/js/vendor/index.js
DUPTYPE_WITHIN_SAME_TREE -4015 4 52 63 2806268 5 /openedx/staticfiles/studio/common/js/vendor/index.55c2f095862b.js
DUPTYPE_FIRST_OCCURRENCE 16155 8 53 63 9095135 5 /openedx/staticfiles/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/anchor.abd361357180.gif
DUPTYPE_WITHIN_SAME_TREE -16155 9 53 63 8973808 5 /openedx/staticfiles/studio/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/anchor.abd361357180.gif
